latitude,longitude,area_in_meters,confidence,geometry,full_plus_code,tile_id
-11.93670295,-75.25695839,57.9992,0.7588,"POLYGON((-75.2569049469015 -11.9367135172428, -75.2569189613504 -11.9366658874899, -75.2570118277945 -11.9366923818777, -75.2569978133606 -11.9367400116349, -75.2569049469015 -11.9367135172428))",57W63P7V+867V,911
-11.92760377,-75.25284344,19.9038,0.7542,"POLYGON((-75.2528197912662 -11.9276204281244, -75.2528231777522 -11.9275832478183, -75.2528670763904 -11.927587124982, -75.2528636899104 -11.9276243052886, -75.2528197912662 -11.9276204281244))",57W63PCW+XV3R,911
-11.89960493,-75.26730886,67.32,0.7639,"POLYGON((-75.2673005718743 -11.8995489067853, -75.2673531887433 -11.8995688785067, -75.2673171552874 -11.89966095173, -75.2672645384037 -11.8996409800017, -75.2673005718743 -11.8995489067853))",57W64P2M+534R,911
-11.8967153,-75.26993413,40.0298,0.8593,"POLYGON((-75.2698946548317 -11.8967277110953, -75.2699299866572 -11.8966746978338, -75.2699736055559 -11.8967028935661, -75.2699382737355 -11.896755906833, -75.2698946548317 -11.8967277110953))",57W64P3J+8286,911
-11.92183842,-75.24712617,20.3048,0.6831,"POLYGON((-75.2470898164541 -11.9218432566454, -75.2471511938864 -11.9218120065561, -75.2471625230365 -11.9218335840267, -75.2471011456007 -11.9218648341185, -75.2470898164541 -11.9218432566454))",57W63QH3+749H,911
-11.89708957,-75.23760924,17.9016,0.751,"POLYGON((-75.2375966678942 -11.8971140364305, -75.2375883149644 -11.897071471722, -75.2376218249874 -11.8970650936413, -75.2376301779221 -11.8971076583487, -75.2375966678942 -11.8971140364305))",57W64Q36+5X6G,911
-11.90297579,-75.26701444,85.6459,0.8371,"POLYGON((-75.2670020788652 -11.9030768824872, -75.2669915711322 -11.9028764864173, -75.2670268024762 -11.9028746947538, -75.2670373102348 -11.9030750908219, -75.2670020788652 -11.9030768824872))",57W63PWM+R55W,911
-11.93420089,-75.24585345,58.769,0.8541,"POLYGON((-75.2458034943862 -11.9342129938503, -75.2458238690772 -11.9341594357173, -75.2459034139531 -11.9341887772901, -75.2458830392758 -11.9342423354285, -75.2458034943862 -11.9342129938503))",57W63Q83+8M6W,911
-11.89501791,-75.26988215,48.562,0.694,"POLYGON((-75.2698971585559 -11.8950697789508, -75.269835352351 -11.8949899112049, -75.2698671426363 -11.894966050254, -75.2699289488451 -11.8950459179923, -75.2698971585559 -11.8950697789508))",57W64P3J+X2X9,911
-11.93644529,-75.25906007,59.6275,0.7414,"POLYGON((-75.259006292082 -11.9364602303447, -75.2590157451959 -11.9364117766526, -75.2591138527989 -11.9364303354039, -75.2591043997018 -11.9364787890991, -75.259006292082 -11.9364602303447))",57W63P7R+C9G2,911
-11.93023053,-75.26715432,9.4151,0.6559,"POLYGON((-75.2671362455856 -11.9302223644014, -75.2671636270409 -11.9302132162759, -75.2671724095516 -11.9302387057964, -75.2671450280941 -11.9302478539229, -75.2671362455856 -11.9302223644014))",57W63P9M+W45J,911
-11.90262637,-75.2651867,18.1397,0.7375,"POLYGON((-75.265167046287 -11.9026474387374, -75.2651759001531 -11.9025998049486, -75.2652063558328 -11.9026052952231, -75.2651975019719 -11.9026529290129, -75.265167046287 -11.9026474387374))",57W63PWM+WWWR,911
-11.93069423,-75.26071948,35.7749,0.6574,"POLYGON((-75.2606966599919 -11.9307311918381, -75.2607046036492 -11.9306535319845, -75.260742301013 -11.9306572709526, -75.2607343573665 -11.930734930807, -75.2606966599919 -11.9307311918381))",57W63P9Q+PPC9,911
-11.92110759,-75.24831225,54.2998,0.8515,"POLYGON((-75.2482557806466 -11.9211008512338, -75.2483571335608 -11.9210731955858, -75.2483687062017 -11.9211143231323, -75.2482673532735 -11.9211419787846, -75.2482557806466 -11.9211008512338))",57W63QH2+HM4J,911
-11.9305581,-75.2479266,200.2858,0.8516,"POLYGON((-75.2478569663216 -11.9306302526426, -75.2479059031661 -11.9304606676581, -75.2479962373604 -11.9304859442235, -75.2479473005684 -11.9306555292226, -75.2478569663216 -11.9306302526426))",57W63Q92+QRGM,911
-11.93795341,-75.26473927,36.4275,0.8234,"POLYGON((-75.2647304382515 -11.9380002796847, -75.2647149171308 -11.9379122296087, -75.2647481166722 -11.9379065552193, -75.2647636378031 -11.9379946052933, -75.2647304382515 -11.9380002796847))",57W63P6P+R46V,911
-11.92232561,-75.24967034,32.5736,0.8028,"POLYGON((-75.2496325463172 -11.9223326474419, -75.2496492795303 -11.9222939133539, -75.2497081410341 -11.9223185715622, -75.249691407828 -11.9223573056535, -75.2496325463172 -11.9223326474419))",57W63QH2+348W,911
